Login 1,Family Name 1,Given Name 1,ORGU 1,Pub ID,Login 2,Family Name 2,Given Name 2,Cat,ORGU 2,Organisation
admjg1,George,M.,2125,30693,psmlc,Caltabiano,M.,external,1,
psmlc,Caltabiano,M.,1,30693,admjg1,George,M.,student,2125,
art-djh,Harvey,Desley,2100,32061,jc237152,Pighills,Alison C.,staff,2100,
art-djh,Harvey,Desley,2100,32062,admjg1,George,M.,student,2125,
art-djh,Harvey,Desley,2100,32063,admjg1,George,M.,student,2125,
art-djh,Harvey,Desley,2100,32064,admjg1,George,M.,student,2125,
art-djh,Harvey,Desley,2100,32065,jc183627,Pain,Tilley,staff,2131,
